tick,x,y,z,dx,dy,dz,yaw,pitch,onGround,sprinting,sneaking,keyUp,keyDown,keyLeft,keyRight,keyJump,keyShift,keySprint
132,-4599210433373032503,4634066716460715619,-4593915446886561778,-4633073801430745035,-4626000674262927107,4597697586299729355,1093496120,1093400587,0,1,0,1,0,0,0,0,0,1
133,-4599165815656070513,4634034672154851114,-4593989249751639849,-4633510544370099565,-4624268450260362036,4597764578262580491,1075477378,1092588753,0,1,0,1,0,0,0,0,0,1
134,-4599125771726888492,4633992234915190896,-4594063576883585655,-4634043299186064240,-4622964760619654472,4597825644869094199,-1072770615,1092254469,0,1,0,1,0,0,0,0,0,1
135,-4599089889944706195,4633939612600212651,-4594138381098394850,-4634852195600887907,-4621687144746895153,4597881215482623208,-1072770615,1092254469,0,1,0,1,0,0,0,0,0,1
136,-4599057795716402803,4633922541587529728,-4594213619458622240,-4635734544177946868,-4633058300709086167,4597931784742392005,-1072770615,1092254469,1,1,0,1,0,0,0,0,0,1
137,-4599031380940282594,4633922541587529728,-4594317918986969091,-4640330511094688894,-4633058300709086167,4596457306574309925,-1072770615,1092254469,1,1,0,1,0,0,0,0,0,1
138,-4599019749443323334,4633922541587529728,-4594410699154627801,-4645715197842446742,-4633058300709086167,4595652241401026674,-1072770615,1092254469,1,1,0,1,0,0,0,0,0,1
139,-4599016244583552613,4633922541587529728,-4594497188666949550,-4653387288949023687,-4633058300709086167,4595212600029771616,-1072579596,1091920185,1,1,0,1,0,0,0,0,0,1
140,-4599027783863122708,4633981651330793472,-4594636320397862476,4577605279895188871,4599674017386589685,4598533439687640352,-1064954998,1091538145,0,1,0,1,0,0,0,1,0,1
141,-4599045489663425755,4634028545061017564,-4594716872899390425,4583906708123368197,4598108061816866538,4598362997742098354,-1060752571,1091538145,0,1,0,1,0,1,0,1,0,1
142,-4599073007295091842,4634063467098229795,-4594794762245519280,4586571328693475724,4595104603415595319,4598207895567185117,-1060752571,1091538145,0,1,0,1,0,1,0,0,0,1
143,-4599109453693555621,4634086656876062060,-4594870228120165116,4588651374266612616,4590650808332220283,4597958285622616295,-1060752571,1091538145,0,1,0,1,0,1,0,0,0,1
144,-4599144166765229939,4634098349039478184,-4594946032151316941,4588247578446102529,4569101448040898630,4597997674093569051,-1060752571,1091538145,0,1,0,1,0,0,0,0,0,1
145,-4599177302509480390,4634098773540547190,-4595022143904898084,4587880124238848383,-4633271298369615887,4598033517603169063,-1060752571,1091538145,0,1,0,1,0,0,0,0,0,1
146,-4599208662046873533,4634088155732301106,-4595098552132468756,4587466339077444724,-4628715563038355714,4598068050894464695,-1063617861,1092063449,0,1,0,1,0,0,0,0,0,1
147,-4599236266118306674,4634066716460715619,-4595175240412262931,4586591465702188947,-4626000674262927107,4598100671378398343,1081016937,1094212417,0,1,0,1,0,0,0,0,0,1
148,-4599259398185656439,4634034672154851114,-4595252129540733376,4585549667600901424,-4624268450260362036,4598124066232884498,1090456086,1094689966,0,1,0,1,0,0,0,0,0,1
149,-4599278437578806805,4633992234915190896,-4595329199812365065,4584528055720698273,-4622964760619654472,4598145165788914330,1090583073,1094737721,0,1,0,1,0,0,0,0,0,1
150,-4599293820742640508,4633939612600212651,-4595406439662077315,4582824545308384107,-4621687144746895153,4598164918244307403,1090074048,1094833231,0,1,0,1,0,0,0,0,0,1
151,-4599305876737700160,4633922541587529728,-4595483833827847324,4581274350788501877,-4633058300709086167,4598179056262254773,1090074048,1094833231,1,1,0,1,0,0,0,0,0,1
152,-4599307134270105769,4633922541587529728,-4595589792027840214,4563267554737115996,-4633058300709086167,4596573227831772864,1090074048,1094833231,1,1,0,1,0,0,0,0,0,1
153,-4599298107459464128,4633922541587529728,-4595683174718868571,-4647171488550524691,-4633058300709086167,4595694350559175654,1090074048,1094833231,1,1,0,1,0,0,0,0,0,1
154,-4599283465396866462,4633922541587529728,-4595769691181204762,-4644031978356241021,-4633058300709086167,4595214483512599759,1090074048,1094833231,1,1,0,1,0,0,0,0,0,1
155,-4599201941790617257,4633981651330793472,-4595894837046408671,-4633010093736284230,4599674017386589685,4597914215533799757,1090074048,1094833231,0,1,0,1,0,0,1,1,0,1
156,-4599145773830288192,4634028545061017564,-4595967593010259007,-4632165171983929248,4598108061816866538,4597642635204059515,1090074048,1094833231,0,1,0,1,0,0,1,1,0,1
157,-4599083004918768853,4634063467098229795,-4596038227252783247,-4631396293167127259,4595104603415595319,4597395497096873415,1090074048,1094833231,0,1,0,1,0,0,1,1,0,1
158,-4599014229141493249,4634086656876062060,-4596106930728845096,-4630696613423672800,4590650808332220283,4597170601412852611,1090074048,1094833231,0,1,0,1,0,0,1,1,0,1
159,-4598939987116221907,4634098349039478184,-4596173877207375533,-4630059904838779411,4569101448040898630,4596965946334495555,1090074048,1094833231,0,1,0,1,0,0,1,0,0,1
160,-4598860805693380808,4634098773540547190,-4596239247692719405,-4629592490365071407,-4633271298369615887,4596782374642833978,1089596498,1094833231,0,1,0,1,0,0,1,0,0,1
161,-4598777207493765259,4634088155732301106,-4596303234548914423,-4629335257278313985,-4628715563038355714,4596621209514930795,1088545893,1094833231,0,1,0,1,0,0,1,0,0,1
162,-4598689785943074660,4634066716460715619,-4596366085203856301,-4629112585305285734,-4626000674262927107,4596488864789150878,1085967132,1094880986,0,1,0,1,0,0,1,0,0,1
163,-4598609446103534652,4634063279075885056,-4596430440501694500,-4629525024174582541,-4633058300709086167,4596664125598765324,1078533686,1094928741,1,1,0,1,0,0,0,0,0,1
164,-4598588085391071321,4634063279075885056,-4596514878096227583,-4641743384862205468,-4633058300709086167,4595069195582700516,939737088,1094880986,1,1,0,1,0,1,0,0,0,1
165,-4598630732313802189,4634063279075885056,-4596585507591594842,4586121837999812069,-4633058300709086167,4594104175036109760,-1069905322,1094737721,1,1,0,1,0,1,0,0,0,1
166,-4598709446104086889,4634063279075885056,-4596647963882079821,4590165570677555080,-4633058300709086167,4593394312135993155,-1064859487,1094594456,1,1,0,1,0,1,0,0,0,1
